ts,pair,long_venue,long_symbol,long_bid,long_ask,short_venue,short_symbol,short_bid,short_ask,entry_edge_bps,position_qty,long_avg_entry,short_avg_entry
2026-05-07T15:53:43.966028Z,MSFT_ext_vs_grvt,extended,MSFT_24_5-USD,425.74000000,425.99000000,grvt,MSFT_USDT_Perp,425.75000000,425.98000000,-18.1339,0.00000000,0.00000000,0.00000000
2026-05-07T15:53:43.967365Z,MSFT_grvt_vs_ext,grvt,MSFT_USDT_Perp,425.75000000,425.98000000,extended,MSFT_24_5-USD,425.74000000,425.99000000,-18.1341,0.00000000,0.00000000,0.00000000
2026-05-07T15:53:43.967365Z,AAPL_ext_vs_grvt,extended,AAPL_24_5-USD,288.98000000,289.24000000,grvt,AAPL_USDT_Perp,289.42000000,289.43000000,-6.2768,0.00000000,0.00000000,0.00000000
2026-05-07T15:53:43.967365Z,AAPL_grvt_vs_ext,grvt,AAPL_USDT_Perp,289.42000000,289.43000000,extended,AAPL_24_5-USD,288.98000000,289.24000000,-28.0478,0.00000000,0.00000000,0.00000000
2026-05-07T15:53:43.967365Z,NVDA_ext_vs_grvt,extended,NVDA_24_5-USD,212.77000000,212.97000000,grvt,NVDA_USDT_Perp,212.96000000,212.97000000,-12.9695,0.00000000,0.00000000,0.00000000
2026-05-07T15:53:43.967365Z,NVDA_grvt_vs_ext,grvt,NVDA_USDT_Perp,212.96000000,212.97000000,extended,NVDA_24_5-USD,212.77000000,212.97000000,-21.8910,0.00000000,0.00000000,0.00000000
2026-05-07T15:53:43.967365Z,AMZN_ext_vs_grvt,extended,AMZN_24_5-USD,273.67000000,273.76000000,grvt,AMZN_USDT_Perp,273.86000000,273.98000000,-8.8472,0.00000000,0.00000000,0.00000000
2026-05-07T15:53:43.967365Z,AMZN_grvt_vs_ext,grvt,AMZN_USDT_Perp,273.86000000,273.98000000,extended,AMZN_24_5-USD,273.67000000,273.76000000,-23.8147,0.00000000,0.00000000,0.00000000
2026-05-07T15:53:43.967365Z,TSLA_ext_vs_grvt,extended,TSLA_24_5-USD,409.64000000,410.12000000,grvt,TSLA_USDT_Perp,409.34000000,409.35000000,-31.5188,0.00000000,0.00000000,0.00000000
2026-05-07T15:53:43.967365Z,TSLA_grvt_vs_ext,grvt,TSLA_USDT_Perp,409.34000000,409.35000000,extended,TSLA_24_5-USD,409.64000000,410.12000000,-5.4156,0.00000000,0.00000000,0.00000000
2026-05-07T15:53:43.967365Z,META_ext_vs_grvt,extended,META_24_5-USD,623.66000000,623.97000000,grvt,META_USDT_Perp,623.41000000,623.42000000,-21.4748,0.00000000,0.00000000,0.00000000
2026-05-07T15:53:43.967365Z,META_grvt_vs_ext,grvt,META_USDT_Perp,623.41000000,623.42000000,extended,META_24_5-USD,623.66000000,623.97000000,-8.6503,0.00000000,0.00000000,0.00000000
